score,matched_skills,title,company,location,remote,source,url,posted
62,"ai engineer, full stack, typescript, fullstack, analytics, frontend, backend, agent","Applied AI Engineer, Fullstack",Ramp,"New York, NY (HQ)",True,ashby,https://jobs.ashbyhq.com/ramp/6a7e382f-240a-4952-b9e5-7fe2b3856bc9,2026-06-24T14:30:42.943+00:00
59,"full-stack, typescript, postgresql, fullstack, analytics, langchain, postgres, backend",Fullstack Forward Deployed Engineer ,Turing,"Dallas, Texas, United States",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/6007383004,2026-06-24T19:49:05-04:00
55,"machine learning, deep learning, data scien, analytics, langgraph, langchain, python, agent",Machine Learning Engineer,Twilio,Remote - US,True,greenhouse,https://job-boards.greenhouse.io/twilio/jobs/7702644,2026-06-22T12:33:51-04:00
50,"machine learning, tensorflow, langgraph, pytorch, python, agent, rest, rag",Machine Learning Engineer,Twilio,Remote - Spain,True,greenhouse,https://job-boards.greenhouse.io/twilio/jobs/8007455,2026-06-25T10:25:18-04:00
50,"machine learning, tensorflow, langgraph, pytorch, python, agent, rest, rag",Machine Learning Engineer,Twilio,Remote - Ireland,True,greenhouse,https://job-boards.greenhouse.io/twilio/jobs/7996774,2026-06-25T10:25:51-04:00
49,"machine learning, data scien, pytorch, python, agent, rest, rag, nlp",Data Science Fellow - AI/NLP,Axle,Remote,True,greenhouse,https://job-boards.greenhouse.io/axle/jobs/5158529007,2026-06-08T15:55:49-04:00
46,"full stack, typescript, postgresql, fullstack, dashboard, postgres, frontend, backend",Senior Front-end Engineer (AI & Security),Escape,Paris Office,True,ashby,https://jobs.ashbyhq.com/escape/108d5d8e-f73f-4e63-b36b-e0d6e0673f09,2026-06-02T18:06:05.496+00:00
46,"javascript, full stack, full-stack, typescript, frontend, backend, next.js, python",Full Stack Engineer,Quindar,"Denver, CO",True,ashby,https://jobs.ashbyhq.com/quindar/f384450c-697b-427e-8930-58fc195016d2,2026-06-26T16:18:30.869+00:00
45,"machine learning, data engineer, ai engineer, javascript, data analy, typescript, data scien, next.js",Senior DevOps Engineer,Lemon.io,,True,remoteok,https://remoteOK.com/remote-jobs/remote-senior-devops-engineer-lemon-io-1134015,2026-06-24T11:33:33+00:00
45,"machine learning, ai engineer, data scien, langgraph, langchain, python, agent, rag",AI Engineering Lead,Turing,"Bengaluru, Karnataka, India; Gurugram, Haryana, India",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/5502989004,2026-06-24T14:19:50-04:00
45,"machine learning, ai engineer, data scien, langgraph, langchain, python, agent, rag","AI Engineering Lead, New York",Turing,"New York, New York, United States",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/6101337004,2026-06-25T12:31:53-04:00
45,"ai engineer, langgraph, langchain, python, rag, llm, api, sql",Forward Deployed AI Engineer,Turing,"New York, New York, United States; San Francisco, California, United States",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/5609732004,2026-06-24T14:18:35-04:00
45,"ai engineer, langgraph, langchain, python, rag, llm, api, sql",Forward Deployed AI Engineer,Turing,"Mumbai, Maharashtra, India",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/5992524004,2026-06-24T14:18:35-04:00
45,"machine learning, ai engineer, data scien, langgraph, langchain, python, agent, rag",Staff Forward Deployed AI Engineer,Turing,"Bengaluru, Karnataka, India; Gurugram, Haryana, India",False,greenhouse,https://job-boards.greenhouse.io/turing/jobs/5480607004,2026-06-24T14:18:35-04:00
44,"machine learning, full stack, analytics, python, agent, rest, rag, llm","Analyst II, Full Stack (Customer Servicing Analytics)",Affirm,Remote US,True,greenhouse,https://job-boards.greenhouse.io/affirm/jobs/7726632003,2026-06-18T11:27:47-04:00
44,"full stack, full-stack, typescript, postgres, frontend, backend, fastapi, python",Senior Full-Stack Engineer - Platform team,Taktile,Berlin Office ,True,ashby,https://jobs.ashbyhq.com/taktile/050f12b4-23ed-400d-bdd1-ddbc8a8d0ac5,2026-06-26T15:28:49.223+00:00
43,"javascript, full stack, fullstack, analytics, frontend, backend, python, agent",Software Engineer - Fullstack,Databricks,"Amsterdam, Netherlands",False,greenhouse,https://databricks.com/company/careers/open-positions/job?gh_jid=8029677002,2026-06-15T18:30:50-04:00
43,"full-stack, typescript, postgresql, postgres, frontend, backend, next.js, react",Full-Stack Developer (m/w/d) - TypeScript / Node.js / Headless Commerce,Cannaleo Digital GmbH,Saarbrücken,True,arbeitnow,https://www.arbeitnow.com/jobs/companies/cannaleo-digital-gmbh/full-stack-developer-typescript-nodejs-headless-commerce-saarbrucken-448529,
43,"machine learning, data engineer, ai engineer, javascript, data analy, typescript, data scien, next.js",Senior Product Manager,Lemon.io,"Americas, Europe, Asia, Oceania",True,remotive,https://remotive.com/remote-jobs/product/senior-product-manager-2090984,2026-06-24T09:57:46
42,"javascript, full stack, full-stack, typescript, analytics, backend, python, react","Software Engineer II, Full-Stack (Card Acquisition)",Affirm,Remote Canada,True,greenhouse,https://job-boards.greenhouse.io/affirm/jobs/7618869003,2026-06-18T11:27:47-04:00
42,"full-stack, typescript, postgresql, postgres, frontend, backend, react, rag",Senior Full-Stack Engineer (React/Typescript),Conveo,London,True,ashby,https://jobs.ashbyhq.com/conveo/87708aaa-34b0-4a5c-ad85-76ceed219b0d,2026-06-17T20:31:57.264+00:00
41,"analytics, backend, python, agent, react, rest, rag, api","Software Engineer II, Backend (AI Agents)",Affirm,Remote Canada,True,greenhouse,https://job-boards.greenhouse.io/affirm/jobs/7637067003,2026-06-18T11:27:47-04:00
41,"javascript, full stack, typescript, fullstack, analytics, dashboard, frontend, backend",Fullstack Engineer,Oneleet,United States,True,ashby,https://jobs.ashbyhq.com/oneleet/f9fcfef3-b247-485e-bfab-97c3adfcd4a1,2026-05-28T21:02:10.262+00:00
41,"machine learning, data engineer, data analy, full stack, tensorflow, analytics, pytorch, python","Senior Manager, Machine Learning",Twilio,Remote - US,True,greenhouse,https://job-boards.greenhouse.io/twilio/jobs/7066029,2026-06-22T12:33:49-04:00
41,"machine learning, data engineer, data scien, analytics, dashboard, python, rest, rag",Machine Learning Engineer,Twilio,Remote - US,True,greenhouse,https://job-boards.greenhouse.io/twilio/jobs/7059734,2026-06-25T16:58:17-04:00
